Yoast SEO;https://ru.wordpress.org/plugins/wordpress-seo/;”лучшите SEO вашего WordPress: поработайте над качеством контента и получите полностью оптимизированный WordPress-сайт с помощьюЕ;5+ млн активных установок;6.1.1
 онтактна€ форма WPForms Ч конструктор форм дл€ WordPress, позвол€ющий создавать формы путЄм перетаскивани€ элементов;https://ru.wordpress.org/plugins/wpforms-lite/;The best WordPress contact form plugin. Drag & Drop online form builder that helps youЕ;5+ млн активных установок;6.1.1
Jetpack предназначен дл€ защиты, резервного копировани€, повышени€ скорости работы и развити€ вашего сайта WordPress;https://ru.wordpress.org/plugins/jetpack/;ќбеспечьте дополнительную защиту сайта WordPress с помощью простых, но эффективных инструментов: резервного копировани€ и проверкиЕ;5+ млн активных установок;6.1.1
Advanced Editor Tools (ранее TinyMCE Advanced);https://ru.wordpress.org/plugins/tinymce-advanced/;–асшир€ет и улучшает редактор блоков (Gutenberg) и классический редактор (TinyMCE).;2+ млн активных установок;5.7.8
MC4WP: Mailchimp for WordPress;https://ru.wordpress.org/plugins/mailchimp-for-wp/;Mailchimp дл€ WordPress, неофициальный плагин Mailchimp є1.;2+ млн активных установок;6.0.3
Smush Ч Lazy Load Images, Optimize & Compress Images;https://ru.wordpress.org/plugins/wp-smushit/;—жимайте изображени€ и оптимизируйте изображени€ с помощью отложенной загрузки, преобразовани€ WebP и определени€ размера, чтобыЕ;1+ млн активных установок;6.1.1
Rank Math SEO;https://ru.wordpress.org/plugins/seo-by-rank-math/;Rank Math SEO Ч лучший WordPress SEO плагин, сочетающий в себе функции многих SEO инструментовЕ;1+ млн активных установок;6.1.1
Smash Balloon Social Photo Feed;https://ru.wordpress.org/plugins/instagram-feed/;–анее плагин называлс€ ЂInstagram Feedї. јккуратное отображение постов из нескольких учетных записей Instagram в видеЕ;1+ млн активных установок;6.1.1
Gutenberg Template and Pattern Library & Redux Framework;https://ru.wordpress.org/plugins/redux-framework/;Supercharge the Gutenberg editor with our library of Gutenberg block templates, layouts, and patterns!;1+ млн активных установок;6.1.1
Ninja Forms Contact Form Ч The Drag and Drop Form Builder for WordPress;https://ru.wordpress.org/plugins/ninja-forms/; онструктор форм WordPress, удобный дл€ новичков. “ащи-и-бросай пол€ формы, чтобы создать красивые профессиональные контактные формыЕ;900†000+ активных установок;6.0.3
Smart Slider 3;https://ru.wordpress.org/plugins/smart-slider-3/;ѕлагин адаптивного слайдера дл€ простого создани€ слайдов в визуальном редакторе. —оздавайте красивые слайдеры изображений, слоЄв,Е;900†000+ активных установок;6.1.1
The Events Calendar;https://ru.wordpress.org/plugins/the-events-calendar/; алендарь меропри€тий Ч это плагин календар€ номер один дл€ WordPress. Ћегко создавайте и управл€йте меропри€ти€миЕ;800†000+ активных установок;6.1.1
ѕлагин Ўорткодов дл€ WordPress Ч Shortcodes Ultimate;https://ru.wordpress.org/plugins/shortcodes-ultimate/;ќбширна€ коллекци€ визуальных компонентов дл€ вашего сайта;700†000+ активных установок;6.1.1
Slider, Gallery, and Carousel by MetaSlider Ч Responsive WordPress Plugin;https://ru.wordpress.org/plugins/ml-slider/;Ћучший плагин слайдера, галереи и карусели дл€ WordPress. ќтзывчивый и простой в использовании с изображени€ми,Е;700†000+ активных установок;6.1.1
WordPress Gallery Plugin Ч NextGEN Gallery;https://ru.wordpress.org/plugins/nextgen-gallery/;—амый попул€рный плагин WordPress дл€ галерей и один из самых загружаемых плагинов за всю историюЕ;600†000+ активных установок;6.0.3
MailPoet Ч письма и рассылки в WordPress;https://ru.wordpress.org/plugins/mailpoet/;ќтправл€йте прекрасные рассылки из WordPress. —обирайте подписчиков с помощью форм подписки, автоматизируйте письма дл€ WooCommerce,Е;600†000+ активных установок;6.0.3
Page Builder Gutenberg Blocks Ц CoBlocks;https://ru.wordpress.org/plugins/coblocks/;CoBlocks Ч это набор блоков WordPress дл€ конструктора страниц дл€ Gutenberg, с более чем 10Е;500†000+ активных установок;6.1.1
Complianz Ч GDPR/CCPA Cookie Consent;https://ru.wordpress.org/plugins/complianz-gdpr/;Configure your Cookie Notice, Cookie Consent and Cookie Policy with our Wizard and Cookie Scan.Е;500†000+ активных установок;6.1.1
AMP;https://ru.wordpress.org/plugins/amp/;An easier path to great Page Experience for everyone. Powered by AMP.;500†000+ активных установок;6.1.1
Spectra Ч WordPress Gutenberg Blocks;https://ru.wordpress.org/plugins/ultimate-addons-for-gutenberg/;”силение GutenbergТа продвинутыми блоками, помогающими создавать сайты в кратчайшие сроки! Ёто первый плагин Gutenberg созданныйЕ;400†000+ активных установок;6.1.1
Forminator Ч Contact Form, Payment Form & Custom Form Builder;https://ru.wordpress.org/plugins/forminator/;Ћучший плагин дл€ создани€ форм WordPress. —оздавайте контактные формы, формы оплаты и формы заказов сЕ;300†000+ активных установок;6.1.1
Formidable Forms Ч Contact Form, Survey, Quiz, Calculator & Custom Form Builder;https://ru.wordpress.org/plugins/formidable/;The most advanced WordPress forms plugin. Go beyond contact forms with our drag and dropЕ;300†000+ активных установок;6.1.1
Orbit Fox от ThemeIsle;https://ru.wordpress.org/plugins/themeisle-companion/;Ётот плагин швейцарский нож, поставл€етс€ с качественной библиотекой шаблонов, модул€ми меню/значков общего доступа, блоками GutenbergЕ;300†000+ активных установок;6.1.1
Gutenberg Blocks by Kadence Blocks Ц Page Builder Features;https://ru.wordpress.org/plugins/kadence-blocks/;ѕользовательские блоки дл€ Gutenberg, которые помогут расширить возможности редактировани€.;300†000+ активных установок;6.1.1
Photo Gallery by 10Web Ч Mobile-Friendly Image Gallery;https://ru.wordpress.org/plugins/photo-gallery/;Photo Gallery Ч это мощный плагин галереи изображений со списком расширенных параметров дл€ создани€ адаптивныхЕ;300†000+ активных установок;6.1.1
HubSpot Ч CRM, Email Marketing, Live Chat, Forms & Analytics;https://ru.wordpress.org/plugins/leadin/;Capture, organize and engage web visitors with free live chat, forms, CRM (contact management), emailЕ;300†000+ активных установок;6.0.3
Popup Builder Ч Create highly converting, mobile friendly marketing popups.;https://ru.wordpress.org/plugins/popup-builder/;”величьте продажи и конверсию, определите круг потенциальных потребителей и получите хороший призыв к действию сЕ;300†000+ активных установок;6.0.3
SEOPress, on-site SEO;https://ru.wordpress.org/plugins/wp-seopress/;SEOPress, a simple, fast and powerful all in one SEO plugin for WordPress. Rank higherЕ;200†000+ активных установок;6.1.1
Otter Ч Gutenberg Blocks Ц Page Builder for Gutenberg Editor & FSE;https://ru.wordpress.org/plugins/otter-blocks/;Otter is a dynamic collection of page building blocks and templates for the WordPress GutenbergЕ;200†000+ активных установок;6.1.1
Embed Plus YouTube WordPress Plugin With YouTube Gallery, Channel, Playlist, Live Stream;https://ru.wordpress.org/plugins/youtube-embed-plus/;YouTube Embed WordPress Plugin. Embed a responsive video, YouTube channel gallery, playlist gallery, YouTube livestream.Е;200†000+ активных установок;6.1.1
Best WordPress Gallery Plugin Ц FooGallery;https://ru.wordpress.org/plugins/foogallery/;Ћучший плагин галереи WordPress. —оздавайте потр€сающие галереи за считанные минуты с расширенными настройками дл€ полнойЕ;200†000+ активных установок;6.1.1
Fonts Plugin | Google Fonts Typography;https://ru.wordpress.org/plugins/olympus-google-fonts/;—амый простой в использовании плагин Google Fonts.  одировани€ не требуетс€. ќптимизирован дл€ скорости. Ѕолее 1000Е;200†000+ активных установок;6.1.1
Smash Balloon Social Post Feed;https://ru.wordpress.org/plugins/custom-facebook-feed/;"Formerly ""Custom Facebook Feed"". Display completely customizable Facebook feeds of a Facebook page or Group.Е";100†000+ активных установок;6.1.1
WooCommerce Blocks;https://ru.wordpress.org/plugins/woo-gutenberg-products-block/;WooCommerce Blocks это наиболее простой и гибкий инструмент дл€ отображени€ ваших товаров пр€мо в содержимомЕ;100†000+ активных установок;6.1.1
Gallery Plugin for WordPress Ч Envira Photo Gallery;https://ru.wordpress.org/plugins/envira-gallery-lite/;√алере€ Envira самый быстрый, самый простой в использовании плагин WordPress галереи изображений. Lightbox с DragЕ;100†000+ активных установок;6.1.0
Layout Grid Block;https://ru.wordpress.org/plugins/layout-grid/; онтейнерный блок Gutenberg позвол€ет единообразно выравнивать элементы по глобальной сетке.;100†000+ активных установок;5.9.5
ƒублировать запись;https://ru.wordpress.org/plugins/copy-delete-posts/;ƒублировать запись;100†000+ активных установок;6.1.1
Social Icons Widget & Block by WPZOOM;https://ru.wordpress.org/plugins/social-icons-widget-by-wpzoom/;¬иджет и блок значков соцсетей помогает добавл€ть значки со ссылками на профили социальных сетей наЕ;100†000+ активных установок;6.1.1
Custom Twitter Feeds (Tweets Widget);https://ru.wordpress.org/plugins/custom-twitter-feeds/;Custom Twitter Feeds allows you to display completely customizable Twitter Tweets from any user timeline,Е;100†000+ активных установок;6.1.1
GiveWP Ч Donation Plugin and Fundraising Platform;https://ru.wordpress.org/plugins/give/;ѕринимайте пожертвовани€ и начинайте сбор средств с помощью GiveWP, плагина дл€ пожертвований WordPress с самымЕ;100†000+ активных установок;6.1.1
Hustle Ч Email Marketing, Lead Generation, Optins, Popups;https://ru.wordpress.org/plugins/wordpress-popup/;Setup email optin forms, popups, newsletter forms & subscription forms to generate email leads withЕ;100†000+ активных установок;6.1.1
Pods Ч Custom Content Types and Fields;https://ru.wordpress.org/plugins/pods/;Pods Ч это платформа дл€ создани€, управлени€ и развертывани€ настраиваемых типов контента и полей дл€Е;100†000+ активных установок;6.1.1
Easy Forms for Mailchimp;https://ru.wordpress.org/plugins/yikes-inc-easy-mailchimp-extender/;The ultimate Mailchimp WordPress plugin. Easily build unlimited forms for your Mailchimp lists, add themЕ;100†000+ активных установок;6.0.3
Paid Memberships Pro Ч Restrict Member Access to Content, Courses, Communities Ч Free or Paid Subscriptions;https://ru.wordpress.org/plugins/paid-memberships-pro/;WordPress membership plugin: restrict content, accept member subscriptions with recurring payment. Includes user registration, login,Е;100†000+ активных установок;6.1.1
Web Stories;https://ru.wordpress.org/plugins/web-stories/;Web Stories Ч это визуальные истории дл€ вашего сайта с быстрой загрузкой и полноэкранным режимом,Е;100†000+ активных установок;6.1.1
LuckyWP Table of Contents;https://ru.wordpress.org/plugins/luckywp-table-of-contents/;—оздаЄт SEO-дружественное содержание дл€ ваших постов/страниц. –аботает автоматически или вручную (через шорткод, Gutenberg-блок или виджет).;100†000+ активных установок;5.9.5
Form Maker by 10Web Ч Mobile-Friendly Drag & Drop Contact Form Builder;https://ru.wordpress.org/plugins/form-maker/;Form Maker is a user-friendly contact form builder that allows to create forms for anyЕ;70†000+ активных установок;6.1.1
EmbedPress Ц Embed Google Docs, YouTube, Maps, Vimeo, Wistia Videos & Upload PDF, PPT in Gutenberg & Elementor;https://ru.wordpress.org/plugins/embedpress/;EmbedPress lets you embed videos, images, posts, audio, maps and upload PDF, DOC, PPT &Е;70†000+ активных установок;6.1.1
Genesis Blocks;https://ru.wordpress.org/plugins/genesis-blocks/;A collection of content blocks, sections, & full-page layouts for the block editor.;70†000+ активных установок;6.1.1
User Profile Picture;https://ru.wordpress.org/plugins/metronet-profile-picture/;”становите пользовательское изображение профил€ (аватар) дл€ пользовател€ с помощью стандартного инструмента загрузки мультимедиа WordPress.;60†000+ активных установок;5.8.6
 алендарь бронировани€;https://ru.wordpress.org/plugins/booking/;The original 1st  алендарь бронировани€ plugin for WordPress. Simply receive, manage and sync bookings forЕ;60†000+ активных установок;6.1.1
Calculated Fields Form;https://ru.wordpress.org/plugins/calculated-fields-form/;Calculated Fields Form allows you to create both simple and rich forms, quickly like aЕ;60†000+ активных установок;6.1.1
Slider by Soliloquy Ч Responsive Image Slider for WordPress;https://ru.wordpress.org/plugins/soliloquy-lite/;The best WordPress slider plugin. Drag & Drop responsive slider builder that helps you createЕ;60†000+ активных установок;5.9.5
Profile Builder Ч User Profile & User Registration Forms;https://ru.wordpress.org/plugins/profile-builder/;Powerful user profile plugin for creating front-end login, user registration and edit profile forms. IncludesЕ;60†000+ активных установок;6.1.1
Gutentor Ч Gutenberg Blocks Ч Page Builder for Gutenberg Editor;https://ru.wordpress.org/plugins/gutentor/;Advanced yet easy, Gutenberg editor page builder blocks. Create a masterpiece, pixel perfect website usingЕ;50†000+ активных установок;6.0.3
Getwid Ч Gutenberg Blocks;https://ru.wordpress.org/plugins/getwid/;40+ Gutenberg Blocks, plus multiple pre-made free block templates for the WordPress block editor.;50†000+ активных установок;6.0.3
WP Recipe Maker;https://ru.wordpress.org/plugins/wp-recipe-maker/;ѕростой и удобный плагин рецептов дл€ всех. јвтоматические метаданные JSON-LD метаданные дл€ еды и рецептовЕ;50†000+ активных установок;6.1.1
Event Tickets and Registration;https://ru.wordpress.org/plugins/event-tickets/;Event Tickets позвол€ет вашим посетител€м регистрироватьс€ и покупать билеты на меропри€ти€ на вашем сайте. “акжеЕ;50†000+ активных установок;6.1.1
RSS Aggregator by Feedzy Ч Powerful WP Autoblogging and News Aggregator;https://ru.wordpress.org/plugins/feedzy-rss-feeds/;The most powerful WordPress RSS aggregator, helping you curate content, autoblog, import and display unlimitedЕ;50†000+ активных установок;6.1.1
Photo Gallery, Images, Slider in Rbs Image Gallery;https://ru.wordpress.org/plugins/robo-gallery/;Rbs Image Gallery is an advanced responsive photo gallery plugin. Flexible gallery images management tools.Е;50†000+ активных установок;6.1.1
Site Reviews;https://ru.wordpress.org/plugins/site-reviews/;Site Reviews is a complete review management solution for your website, business, or products.;50†000+ активных установок;6.1.1
Feeds for YouTube (плагин дл€ видео, канала и галереи YouTube);https://ru.wordpress.org/plugins/feeds-for-youtube/;ѕлагин Feeds for YouTube позвол€ет отображать настраиваемые ленты YouTube с любого канала YouTube.;40†000+ активных установок;6.1.1
Advanced Responsive Video Embedder (Rumble, YouTube, Vimeo, HTML5 Video Е);https://ru.wordpress.org/plugins/advanced-responsive-video-embedder/;Easy video embeds via URLs or shortcodes or Blocks. Perfect drop-in replacement for WordPress' defaultЕ;40†000+ активных установок;6.0.3
10WebSocial;https://ru.wordpress.org/plugins/wd-instagram-feed/;10Web;40†000+ активных установок;5.0.18
Ultimate Blocks Ч плагин блоков дл€ редактора Gutenberg;https://ru.wordpress.org/plugins/ultimate-blocks/;Ќастраиваемые блоки Gutenberg дл€ блогеров и маркетологов. —оздавайте лучший контент с Gutenberg.;40†000+ активных установок;6.1.1
Form builder to get in touch with visitors, grow your email list and collect payments Ч Happyforms;https://ru.wordpress.org/plugins/happyforms/;Contact form, newsletter form and payment form builder without the sucky stuff Ч lost emails,Е;40†000+ активных установок;6.1.1
Visualizer: Tables and Charts Manager for WordPress;https://ru.wordpress.org/plugins/visualizer/;ѕростой и мощный плагин диаграмм WordPress дл€ создани€ адаптивных диаграмм и таблиц и встраивани€ ихЕ;40†000+ активных установок;6.1.1
Constant Contact Forms;https://ru.wordpress.org/plugins/constant-contact-forms/;ќфициальный плагин Constant Contact добавл€ет на ваш сайт WordPress контактную форму дл€ быстрого сбора информацииЕ;40†000+ активных установок;6.0.3
Accept Stripe Payments;https://ru.wordpress.org/plugins/stripe-payments/;Easily accept payments on your WordPress site via Stripe payment gateway.;40†000+ активных установок;6.1.1
Timetable and Event Schedule by MotoPress;https://ru.wordpress.org/plugins/mp-timetable/;”мный организатор и тайм-менеджмент инструмент с чистым минималистичным дизайном дл€ вывода расписаний предсто€щих событий.;40†000+ активных установок;6.1.1
Sliderby10Web;https://ru.wordpress.org/plugins/slider-wd/;10Web;40†000+ активных установок;5.0.18
Gutenberg Blocks Ч PublishPress Blocks Gutenberg Editor Plugin;https://ru.wordpress.org/plugins/advanced-gutenberg/;PublishPress Blocks include accordions, galleries, sliders, tabs, maps and more. Plus it has the bestЕ;30†000+ активных установок;6.1.1
Uncanny Toolkit for LearnDash;https://ru.wordpress.org/plugins/uncanny-learndash-toolkit/;Extend LearnDash with a variety of useful functions that make it even easier to buildЕ;30†000+ активных установок;6.1.1
Image Photo Gallery Final Tiles Grid;https://ru.wordpress.org/plugins/final-tiles-grid-gallery-lite/;√алере€ изображений + √алере€ фотографий + √алере€ портфолио + ѕлиточна€ галере€ в 1 плагине. ¬ключаетЕ;30†000+ активных установок;6.1.1
Atomic Blocks Ч Gutenberg Blocks Collection;https://ru.wordpress.org/plugins/atomic-blocks/;A collection of beautiful, customizable Gutenberg blocks for the new block editor.;30†000+ активных установок;5.5.11
SyntaxHighlighter Evolved;https://ru.wordpress.org/plugins/syntaxhighlighter/;Easily post syntax-highlighted code to your site without having to modify the code at all.Е;30†000+ активных установок;5.9.5
ћагазин Ёквид;https://ru.wordpress.org/plugins/ecwid-shopping-cart/;Powerful, easy to use ecommerce shopping cart for WordPress. ѕродажи в соцсет€х. iPhone & AndroidЕ;30†000+ активных установок;6.1.1
WP User Frontend Ч Registration, User Profile, Membership, Content Restriction, User Directory, and Frontend Post Submission Plugin;https://ru.wordpress.org/plugins/wp-user-frontend/;Get frontend post, content access & restriction, user login & registration, subscription & membership, formЕ;30†000+ активных установок;6.1.1
Appointment Hour Booking Ч WordPress Booking Plugin;https://ru.wordpress.org/plugins/appointment-hour-booking/;Appointment Hour Booking is a plugin for creating booking forms for appointments with a startЕ;30†000+ активных установок;6.1.1
Portfolio Gallery Ч Image Gallery Plugin;https://ru.wordpress.org/plugins/portfolio-filter-gallery/;Portfolio gallery имеет отдельную страницу рубрик удобный интерфейс. ¬итрина портфолио, изображени€, видео, галере€.;20†000+ активных установок;6.1.1
Timeline Express;https://ru.wordpress.org/plugins/timeline-express/;Timeline Express creates a beautiful vertical animated and responsive timeline of posts, in chronological order.;10†000+ активных установок;6.0.3
Qubely Ч расширенные блоки Gutenberg;https://ru.wordpress.org/plugins/qubely/;√отовые блоки и разделы Gutenberg с широкими возможност€ми настройки. ”лучшите редактор Gutenberg с помощью простогоЕ;10†000+ активных установок;6.0.3
UsersWP Ч Front-end login form, User Registration, User Profile & Members Directory plugin for WordPress;https://ru.wordpress.org/plugins/userswp/;Light weight Front-end login form, User Registration, User Profile and Members Directory plugin.;10†000+ активных установок;6.1.1
Contact Form Email;https://ru.wordpress.org/plugins/contact-form-to-email/;Contact form with visual form builder. Contact form that sends the data to email, toЕ;10†000+ активных установок;6.1.1
GamiPress Ч The most flexible and powerful gamification plugin for WordPress;https://ru.wordpress.org/plugins/gamipress/;Reward your users with points, achievements, badges and ranks to increase your site activity andЕ;10†000+ активных установок;6.1.1
GeoDirectory Ч  WordPress Business Directory Plugin and Classified Ads Listings;https://ru.wordpress.org/plugins/geodirectory/;Create a Business Directory, Classified Ads Directory, Job Listings Directory, or Member Directory with theЕ;10†000+ активных установок;6.1.1
Better Click To Tweet;https://ru.wordpress.org/plugins/better-click-to-tweet/;Insert click to tweet boxes into your posts, simply and securely. Gutenberg/WordPress 5.X+ block included.;10†000+ активных установок;6.1.1
